customer_region,customer_state,customer_city,revenue_items_only,orders_count
centro_oeste,MT,vila rica,221.82,3
nordeste,SE,nossa senhora da gloria,221.45,2
sudeste,MG,santa cruz de salinas,220.9,2
sul,SC,grao para,220.8,3
centro_oeste,MT,uniao do sul,220.7,1
norte,PA,placas,220.29,2
norte,TO,pequizeiro,219.99,1
nordeste,CE,mombaca,219.9,1
nordeste,AL,sao jose da laje,219.9,2
centro_oeste,MS,agua clara,219.89,2
sudeste,MG,coronel murta,219.8,1
sudeste,MG,merces,219.76,4
nordeste,AL,boca da mata,219.73,2
nordeste,CE,uruoca,219.7,2
sudeste,MG,divinolandia de minas,219.59,5
nordeste,PE,triunfo,219.0,2
sudeste,RJ,laje do muriae,219.0,1
nordeste,PB,puxinana,219.0,1
nordeste,PE,sao jose da coroa grande,218.9,2
sudeste,MG,varzelandia,218.89,3
sudeste,SP,rubiacea,218.8,2
nordeste,BA,lencois,218.0,1
nordeste,BA,quixabeira,216.94,3
sudeste,SP,gastao vidigal,216.88,3
sul,RS,condor,216.8,4
sudeste,MG,sericita,216.32,2
sudeste,SP,mineiros do tiete,216.15,3
sul,SC,antonio carlos,215.8,2
nordeste,PE,rio formoso,215.6,2
nordeste,PE,joao alfredo,215.49,3
sul,RS,progresso,215.0,1
sudeste,RJ,santo eduardo,215.0,2
centro_oeste,MT,tabapora,214.9,2
sul,PR,lunardelli,214.89,2
nordeste,CE,carnaubal,214.89,2
nordeste,AL,maravilha,214.8,2
nordeste,AL,batalha,214.79,3
nordeste,BA,crisopolis,214.6,4
sul,PR,guamiranga,214.0,1
sul,PR,mercedes,213.9,2
sudeste,MG,rubim,213.89,3
sudeste,SP,queluz,213.74,2
sudeste,MG,monte alegre de minas,213.68,4
sudeste,MG,alto rio doce,213.42,4
sudeste,SP,ilha comprida,212.98,3
sul,SC,irineopolis,212.82,4
sul,RS,rodeio bonito,212.8,2
sul,SC,timbe do sul,212.79,3
nordeste,SE,telha,212.4,1
sudeste,MG,alto jequitiba,211.89,3
sul,PR,doutor camargo,211.05,1
sudeste,MG,alvarenga,211.0,2
nordeste,PI,barras,210.88,3
sul,SC,meleiro,210.8,3
sul,RS,vale real,210.53,3
sudeste,SP,guapiara,210.29,3
sudeste,MG,cristiano otoni,210.2,2
sul,RS,santo expedito do sul,209.99,1
sul,RS,gramado dos loureiros,209.99,1
nordeste,PE,terra nova,209.99,1
nordeste,SE,tobias barreto,209.99,2
sudeste,SP,coroados,209.9,2
sul,RS,acegua,209.9,2
sul,RS,morro redondo,209.9,1
sul,PR,lupionopolis,209.75,2
sudeste,SP,ribeira,209.28,3
